RECORD_ID,ITEM_NAME,ITEM_DESCRIPTION,ITEM_PRICE,ITEM_AMOUNT,ITEM_KEY,REGISTERED_MONEY,REGISTERED_CHANGE,TRANSACTION_METHOD,TRANSACTION_STATUS,ITEM_INVENTORY,SERVER_HOSTNAME, SERVER_LOCAL_IP, SERVER_INTERNET_IP
20240502-081958,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-082523,STAINLESS SCREW SET 2,3.5 mm x 40 mm,17,1,10,50,33,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-082523,STAINLESS SCREW SET 2,3.5 mm x 40 mm,17,1,10,50,33,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083640,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083820,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-083820,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-103604,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122358,STAINLESS SCREW SET 3,3.5 mm x 50 mm,20,1,11,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122512,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122809,STAINLESS SCREW SET 1,3.5 mm x 25 mm,15,1,9,50,35,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122912,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122949,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-122956,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-123007,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-123013,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-144258,HEX BOLTS SET 2,10 mm x 1,20,1,1,50,30,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-144258,HEX BOLTS SET 2,10 mm x 1,20,1,1,50,30,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-144258,HEX BOLTS SET 2,10 mm x 1,20,1,1,50,30,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-144811,HEX BOLTS SET 2,10 mm x 1,20,1,1,50,30,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-145053,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-145110,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,10,MPH-LT-A69517,10.164.46.200,58.69.36.155
20240502-195619,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-200853,HEX BOLTS SET 1,8 mm x 1,20,1,0,50,30,CASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-201340,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-202414,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-202513,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-214810,BLACK SCREW SET 1,3.5 mm x 25 mm,17,1,6,50,33,GCASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-215036,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,10,MNCIV-DT-001,25.31.95.50,0.0.0.0
20240502-221840,HEX BOLTS SET 1,8 mm x 1,20,1,0,50,30,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,0.0.0.0
20240502-224225,HEX BOLTS SET 2,10 mm x 1,30,1,1,50,20,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240502-224247,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240502-224656,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240502-224704,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082004,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082124,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082208,BLACK SCREW SET 1,3.5 mm x 25 mm,17,1,6,50,33,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082529,BLACK SCREW SET 1,3.5 mm x 25 mm,17,1,6,50,33,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082649,BLACK SCREW SET 3,3.5 mm x 50 mm,23,1,8,50,27,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-082801,HEX BOLTS SET 2,10 mm x 1,30,1,1,50,20,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-083301,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-083404,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-084356,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,GCASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-084555,BLACK SCREW SET 1,3.5 mm x 25 mm,17,1,6,50,33,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-090427,HEX BOLTS SET 1,8 mm x 1,20,1,0,50,30,GCASH,SUCCESS,1,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-090717,HEX BOLTS SET 1,8 mm x 1,20,1,0,50,30,GCASH,SUCCESS,1,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-090759,HEX BOLTS SET 2,10 mm x 1,30,1,1,50,20,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-100443,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-100934,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,9,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-101330,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-102258,HEX BOLTS SET 2,10 mm x 1,30,1,1,50,20,CASH,SUCCESS,9,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-112524,BLACK SCREW SET 1,3.5 mm x 25 mm,17,1,6,50,33,CASH,SUCCESS,10,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-120153,ALLEN BOLTS SET 1,3 mm x 1,50,1,3,50,0,GCASH,SUCCESS,8,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-121557,ALLEN BOLTS SET 2,4 mm x 1,55,1,4,100,45,GCASH,SUCCESS,1,MNCIV-DT-001,192.168.0.100,112.206.251.225
20240503-124318,BLACK SCREW SET 2,3.5 mm x 40 mm,20,1,7,50,30,CASH,SUCCESS,9,MNCIV-DT-001,192.168.0.100,112.206.251.225
